Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
2021-03-07,AK,59332,18300,1499,0,2447,12238,1508,4453,7130,11757,3197,29625,26510,305,127,9,0,29,111,17,4,1,7,13,280,12,1293,423,45,0,116,336,126,67,54,126,66,939,288,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AL,499819,160347,82790,0,2273,0,0,0,38000,216409,12312,167064,320443,10148,4730,2223,0,24,0,0,0,300,2871,137,6083,3928,0,0,0,0,0,0,0,0,0,0,0,0,0,2323788,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AR,324818,207596,50842,0,2913,1070,3358,1804,16491,40744,34332,290486,0,5319,4171,784,0,36,18,56,13,203,38,186,5133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2736442,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,AZ,826454,308453,25775,244539,11921,40707,0,0,46964,148095,244539,433820,148095,16328,8066,433,4684,220,1361,0,0,465,1099,4684,10545,1099,57907,26710,2479,18730,1015,4496,0,0,2562,1915,18730,37262,1915,7908105,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,CA,3501394,546630,111279,1509103,186562,9025,15281,42824,304477,776213,1509103,1216078,776213,54124,16586,3275,24402,6105,184,322,693,1103,1454,24402,28268,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,49646014,9172498,1730660,9444459,3980518,98894,222513,74171,6354689,18567612,9444459,21633943,18567612
2021-03-07,CO,435762,181669,12637,119224,6406,2527,1264,6580,3312,102143,119224,214395,102143,5986,3869,191,1204,115,37,9,186,38,337,1204,4445,337,0,0,0,0,0,0,0,0,0,0,0,0,0,6415123,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,CT,285330,85469,19651,41523,3019,393,0,17642,15284,102349,41523,141458,102349,7704,5413,906,782,83,3,0,353,38,126,782,6796,126,0,0,0,0,0,0,0,0,0,0,0,0,0,6520366,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,DC,41419,10708,20164,0,914,86,82,0,9148,317,8455,30131,2833,1030,105,773,119,14,0,0,0,0,19,119,892,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,DE,88354,42730,19768,14532,1842,0,0,0,5190,4292,14532,69530,4292,1473,1036,329,80,11,0,0,0,15,2,80,1391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,633424,311489,118013,55204,16091,0,0,0,58282,74345,55204,503875,74345
